projectname,projecttype,projecttitle
Brain,interactive,WebGL Brain
MusicViz,interactive,Music Library Explorer
Chicago,interactive,Chicago Graffiti Map
Aaliyah,print,Aaliyah
Robbery,print,Armed Robbery
Masakiyo,print,P.M.W.
MicroAnimations,interactive,Microscopy Animations
Sonification,interactive,Hyperspectral Sonification
NoiseShader,interactive,Trippy Noise Shader
EEGVisualizer,interactive,EEG Visualizer
Boosie,print,Boosie
Molecule,interactive,Car Molecule
slime,interactive,Soylent Saviour
3DDNA,interactive,3D Genome
GFAT,interactive,Geophysical Fluid Viz